Model,MAE,RMSE,R²,MAPE,Train_MAE,Train_R²,Region
Ensemble,7.364138285899034,8.954911806464185,0.06736275529678659,165.12044896863847,6.064615841424276,0.5582949930317649,HSE South West
Optimized_XGBoost,7.853957176208496,9.843389982875841,-0.1268848180770874,166.31531612247855,5.38747501373291,0.6373211145401001,HSE South West
Simple_XGBoost,8.142671585083008,10.129157449039946,-0.19326460361480713,174.329441585639,5.39984655380249,0.6348925828933716,HSE South West
LightGBM,8.154502308344055,10.049841953175651,-0.17465029707890123,178.98521929865288,5.4833057339307985,0.6241178832904106,HSE South West
Baseline_MA_14,8.580357142857142,10.322163839357065,-0.23917209585311672,216.05715414079492,9.353236607142858,-0.0008585369079330274,HSE South West
SARIMA,9.051287714939658,10.745151585233108,-0.34281202620570883,229.74761674113674,10.22535257639954,-0.08732437807987337,HSE South West
Prophet,12.224289842047428,13.87823407072419,-1.2400542950476043,316.42647551272853,15.68358228825249,-1.2480345456350306,HSE South West
