Model,RMSE,MAE,R²,MAPE,Fallback_Mode,Rank
Simple_XGBoost,0.29076683367413864,0.08114457875490189,0.999506413936615,7587389.011373141,False,1
LightGBM,0.33978430654139424,0.09769731767632223,0.9993259674045857,19987187.154791683,False,2
Ensemble,0.394329358101911,0.17872460035702284,0.9990921951686207,268189335.7479698,False,3
Optimized_XGBoost,0.7556948223937643,0.2929799556732178,0.9966660141944885,74645586.75091058,False,4
SARIMA,13.484717219766434,10.728201887418859,-0.06159277274319219,36343681036.57595,False,5
Baseline_MA_14,13.876568751148229,11.309637404580153,-0.12418671713237273,39120944835.08869,False,6
Prophet,13.913875812248605,11.192043018801487,-0.13023957949888954,37726614528.20299,False,7
