Model,MAE,RMSE,R²,MAPE,Train_MAE,Train_R²,Region
Ensemble,7.992446740717218,9.871508203871217,0.3645223063753835,19.609876792905464,11.23206714769263,0.4943504776729303,HSE Mid West
Simple_XGBoost,8.334952354431152,10.56453418894532,0.2721632719039917,20.50807308811971,9.834770202636719,0.5912774205207825,HSE Mid West
Optimized_XGBoost,8.356313705444336,10.644606149392452,0.26108843088150024,21.52471519025947,9.867228507995605,0.5905364751815796,HSE Mid West
LightGBM,8.360644804126343,10.304303496020605,0.3075784555358547,20.280688013432034,9.975899359343293,0.5819924898845972,HSE Mid West
SARIMA,9.01831481529002,11.562955658058591,0.12809130325580975,23.350519600298885,20.575295737304305,-0.745014406600355,HSE Mid West
Baseline_MA_14,9.97358943577431,12.527999852814688,-0.023521025059129563,26.02843269077487,15.751513317191284,-0.0744194194062,HSE Mid West
Prophet,11.49518455793579,14.399290622045541,-0.3521207682284353,29.741789328789555,29.5106917690721,-2.224435240031766,HSE Mid West
