Model,MAE,RMSE,R²,MAPE,Train_MAE,Train_R²,Region
Ensemble,6.35327443896864,8.056786153902209,0.261351658814018,94.80697605112762,4.646731225278355,0.5298594867943367,HSE West & North West
LightGBM,6.492592483757598,8.117070074586048,0.25025661244223085,99.47637024526608,4.264479203532852,0.600081859440875,HSE West & North West
Simple_XGBoost,6.80109167098999,8.510746165464504,0.17576825618743896,108.46539315747725,4.1467061042785645,0.6210875511169434,HSE West & North West
Optimized_XGBoost,6.830227375030518,8.506745747086038,0.1765429973602295,107.30485708965443,4.129089832305908,0.6269646883010864,HSE West & North West
Prophet,7.818961846215764,9.487272608441215,-0.02422839870355209,138.67647355212264,8.484458644596463,-0.16850445974735218,HSE West & North West
SARIMA,8.844130593548812,10.490546066392957,-0.25230537336145775,197.1279645522809,7.965150044584006,-0.04713249760378835,HSE West & North West
Baseline_MA_14,9.57591623036649,11.341548826276881,-0.4637226297166568,217.64214505853445,10.052385114885112,-0.5225560994484286,HSE West & North West
