Model,MAE,RMSE,R²,MAPE,Train_MAE,Train_R²
Simple_XGBoost,0.08114457875490189,0.29076683367413864,0.999506413936615,0.589900366791757,0.0578230582177639,0.9998435974121094
LightGBM,0.09769731767632223,0.33978430654139424,0.9993259674045857,0.6730115340039752,0.08762259055333957,0.999443813768493
Ensemble,0.17872460035702284,0.394329358101911,0.9990921951686207,2.2790516296520673,0.13624434969396107,0.9995356591572778
Optimized_XGBoost,0.2929799556732178,0.7556948223937643,0.9966660141944885,2.9605590529325796,0.11035202443599701,0.9998604655265808
SARIMA,10.728201887418859,13.484717219766434,-0.06159277274319219,225.18311924850667,10.387534083092495,-0.02827357792930374
Prophet,11.192043018801487,13.913875812248605,-0.13023957949888954,236.1211303275021,14.69772176354654,-0.3867059774876642
Baseline_MA_14,11.309637404580153,13.876568751148229,-0.12418671713237273,244.59059430797927,11.53018012644638,-0.00859094262523552
